cls,freq,freq_1cls,ratio,agent_utterance,theme,agent_utterance_refine
1,4,4,1, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・,食事, とても美味しそうですね。今度知りあいにもすすめてみようと思います。
2,31,31,1, もう少し詳しく教えていただいていいですか。,default, もう少し詳しく教えていただいていいですか？
2,3,3,1, どういったところが好きなんですか？,default, どういったところが好きなんですか？
2,1,1,1, スポーツはよくするんですか？,スポーツ, スポーツはよくするんですか？
2,20,20,1, 2024年にはオリンピックがパリで開催されるようですね。ご存じですか？,スポーツ, 2024年にはオリンピックがパリで開催されるようですね。ご存じですか？
2,16,16,1, 健康のため、とか、リフレッシュするため、とかですか？,スポーツ, 健康のためとかリフレッシュするためとかですか？
2,7,7,1, 最近スポーツはしましたか？,スポーツ, 最近スポーツはしましたか？
2,1,1,1, どんなスポーツをされますか？,スポーツ, どんなスポーツをされますか？
2,3,3,1, 好きなスポーツはなんですか？,スポーツ, 好きなスポーツはなんですか？
2,16,16,1, パリで開催されるオリンピックを、見にいく予定はありますか？,スポーツ, パリで開催されるオリンピックを、見にいく予定はありますか？
2,7,7,1, 競技はなにをご覧になりますか？,スポーツ, 競技は何をご覧になりますか？
2,5,5,1, なにかおすすめのスポーツ観戦はありますか？,スポーツ, なにかおすすめのスポーツ観戦はありますか？
2,6,6,1, スポーツをする目的は何ですか？,スポーツ, スポーツをする目的は何ですか？
2,15,15,1, オリンピックは今までに見たことはありますか？,スポーツ, オリンピックは今までに見たことはありますか？
2,4,4,1, そうですか。テレビでの観戦はなされるんですか？,スポーツ, テレビでの観戦はなされるんですか？
2,23,23,1, 今までいった「旅行」で特におすすめの場所はありますか？,旅行, 今までいった旅行で特におすすめの場所はありますか？
2,10,10,1, 旅行はどこに行ったことがありますか？,旅行, 旅行はどこに行ったことがありますか？
2,11,11,1, 旅行に行くときはなにか目的はありますか？,旅行, 旅行に行くときは何か目的はありますか？
2,15,15,1, 「温泉」などリフレッシュするためにいきますか？,旅行, 温泉などリフレッシュするためにいきますか？
2,23,23,1, さいきん旅行には行きましたか？,旅行, 最近、旅行には行きましたか？
2,4,4,1, 旅行にはよく行かれますか？,旅行, 旅行にはよく行かれますか？
2,4,4,1, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？,旅行, 数年前からスペインのバルセロナは人気の観光スポットですが、ご存知ですか？
2,9,9,1, カラオケでよくなにをうたうのですか？,音楽, カラオケでよく何を歌うのですか？
2,3,3,1, カラオケで歌ったりするのですか？,音楽, カラオケで歌ったりするのですか？
2,6,6,1, コンサートとかには行きますか？,音楽, コンサートとかには行きますか？
2,3,3,1, おすすめの歌手やきょくってありますか？,音楽, おすすめの歌手や曲ってありますか？
2,8,8,1, 「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？,音楽, スローテンポの曲で、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く曲とかはありますか？
2,3,3,1, がっきは何を演奏するのですか。,音楽, 楽器は何を演奏するのですか？
2,6,6,1, 最近音楽は聞きましたか？,音楽, 最近音楽は聞きましたか？
2,14,14,1, カラオケは好きですか？,音楽, カラオケは好きですか？
2,7,7,1, おすすめの曲はありますか？,音楽, おすすめの曲はありますか？
2,22,22,1, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,音楽, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
2,4,4,1, カラオケに行くときはお友達と行きますか？,音楽, カラオケに行くときはお友達と行きますか？
2,8,8,1, どこで食べられたんですか・・,食事, どこで食べられたんですか？
2,24,24,1, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,食事, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
2,17,17,1, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,食事, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか利用しますか？
2,23,23,1, 普段はどこでスイーツを買いますか？,食事, 普段はどこでスイーツを買いますか？
2,7,7,1, どんなところに行きますか？和食ですか洋食ですか？,食事, どんなところに行きますか？和食ですか洋食ですか？
2,2,2,1, 最近はまっている食べ物はありますか・・,食事, 最近はまっている食べ物はありますか？
2,10,10,1, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？,食事, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？
2,9,9,1, お友達とランチに行ったりしますか？,食事, お友達とランチに行ったりしますか？
2,30,30,1, 甘いものと、からいものどちらがお好きですか？,食事, 甘いものと辛いもののどちらがお好きですか？
3,3,3,1, よくご存じですね。,default, よくご存じですね。
3,3,3,1, それは大変ですよね。,default, それは大変ですよね。
3,1,1,1, 大変ですよね。,default, 大変ですよね。
3,38,38,1, 本当ですか！,default, 本当ですか！
3,3,3,1, いいですね，とても興味深いです！,default, いいですね、とても興味深いです！
3,4,4,1, 面白いですよね。,default, 面白いですよね。
3,18,18,1, すごいですね。,default, すごいですね。
3,1,1,1, そうなんですか．,default, そうなんですか。
3,2,2,1, すごい！,default, すごい！
3,10,10,1, すごいですね！,default, すごいですね！
3,3,3,1, そうなんですか．それでは一度独自で調べてみたいと思います．,default, そうなんですか。それでは一度独自で調べてみたいと思います。
3,1,1,1, そうなんですか．私も独自に調べてみますね．,default, そうなんですか。私も独自に調べてみますね。
4,18,18,1, ありがとうございます。,default, ありがとうございます。
4,1,1,1, そうなんですね．新しい知識が増えました！ありがとうございます！,default, そうなんですね、新しい知識が増えました！ありがとうございます！
4,6,6,1, ありがとうございます。参考にさせていただきます。,default, ありがとうございます。参考にさせていただきます。
4,58,58,1, ありがとうございました・・,default, ありがとうございました。
4,20,20,1, 貴重な体験談をありがとうございました。,旅行, 貴重な体験談をありがとうございました。
5,12,12,1, それは面白そうですね。,default, それは面白そうですね。
5,14,14,1, なるほど、それは面白そうですね。,default, なるほど、それは面白そうですね。
5,8,8,1, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！,default, なるほど、それは面白そうですね。今度知り合いにもすすめてみたいと思います！
5,10,10,1, なるほど、それは素晴らしい経験ですね。,旅行, なるほど、それは素晴らしい経験ですね。
5,7,7,1, なるほど、それはリラックスできますね。,旅行, なるほど、それはリラックスできますね。
5,11,11,1, なるほど、それは美味しそうですね・・,食事, なるほど、それは美味しそうですね。
6,2,2,1, そのほかで、おすすめのものはありますか？あったら教えてください．,default, そのほかで、おすすめのものはありますか？あったら教えてください？
6,19,19,1, 具体的にはどういったものですか？,default, 具体的にはどういったものですか？
6,6,6,1, そのほかにおすすめのものはありますか？,default, そのほかにおすすめのものはありますか？
6,5,5,1, それのどういったところが好きなんですか？,default, それのどういったところが好きなんですか？
6,2,2,1, ほかには、ありますか？,default, ほかには、ありますか？
6,9,9,1, 具体的には何ですか？,default, 具体的には何ですか？
6,20,20,1, 具体的に教えてもらっていいですか？,default, 具体的に教えてもらっていいですか？
6,13,13,1, 具体的には教えてもらえますか？,default, 具体的には教えてもらえますか？
6,3,3,1, 具体的に教えてください？,default, 具体的に教えてください？
7,19,19,1, 1924年以来100年ぶりのパリでのオリンピック開催らしいです。,スポーツ, 1924年以来100年ぶりのパリでのオリンピック開催らしいです。
7,4,4,1, まだまだ寒いので、体を動かして温まりたいですよね。,スポーツ, まだまだ寒いので、体を動かして温まりたいですよね。
7,4,4,1, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・,旅行, 先日旅行にいった知り合いが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです。
7,5,5,1, すごい！面白い体験をされましたね!,旅行, すごい！面白い体験をされましたね!
7,3,3,1, わたしも実際に、演奏をきいてみたいものです。,音楽, わたしも実際に、演奏をきいてみたいものです。
7,4,4,1, なまで演奏をきくと、迫力があって、感動するみたいですね！,音楽, なまで演奏をきくと、迫力があって、感動するみたいですね！
7,2,2,1, すごいですね。一度聞かせていただけるとうれしいです。,音楽, すごいですね。一度聞かせていただけるとうれしいです。
7,8,8,1, 私の友人はあんこ系が好きだそうです。あずきときなこは、体や肌にいいそうで、よく食べてるそうです・・,食事, 私の友人はあんこ系が好きだそうです。あずきときなこは体や肌にいいそうで、よく食べてるそうです。
