clsKM,freq,freq_1cls,ratio,agent_utterance,theme,agent_utterance_refine,cls,ID,ID4,name,number,cls_ID_state,cls_ID_action,precan_0,precan_1,precan_2,precan_3,precan_4,precan_5,precan_6,precan_7,precan_8,precan_9,precan_10,precan_11,precan_12,precan_13,precan_14,precan_15,precan_16,precan_17,precan_18,precan_19,precan_20,precan_21,precanb_0,precanb_1,precanb_2,precanb_3,precanb_4,precanb_5,precanb_6,precanb_7,precanb_8,precanb_9,precanb_10,precanb_11,precanb_12,precanb_13,precanb_14,precanb_15,precanb_16,precanb_17,precanb_18,precanb_19,precanb_20,precanb_21,precanb_22,precanb_23,cls_ID4,ID117,cls_ID
2,10,10,1, 旅行はどこに行ったことがありますか？,旅行, 旅行はどこに行ったことがありますか？,qs_x_s,0,31,2_t_1,1,qs_x_s_31,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_47,52,qs_x_s_0
2,11,11,1, 旅行に行くときはなにか目的はありますか？,旅行, 旅行に行くときは何か目的はありますか？,qs_x_s,0,32,2_t_2,2,qs_x_s_32,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_48,53,qs_x_s_0
2,15,15,1, 「温泉」などリフレッシュするためにいきますか？,旅行, 温泉などリフレッシュするためにいきますか？,qs_x_s,0,33,2_t_3,3,qs_x_s_33,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_49,54,qs_x_s_0
2,23,23,1, 今までいった「旅行」で特におすすめの場所はありますか？,旅行, 今までいった旅行で特におすすめの場所はありますか？,qs_x_s,0,34,2_t_4,4,qs_x_s_34,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_50,55,qs_x_s_0
2,23,23,1, さいきん旅行には行きましたか？,旅行, 最近、旅行には行きましたか？,qs_x_s,0,35,2_t_5,5,qs_x_s_35,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_51,56,qs_x_s_0
2,4,4,1, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？,旅行, 数年前からスペインのバルセロナは人気の観光スポットですが、ご存知ですか？,qs_x_s,0,36,2_t_6,6,qs_x_s_36,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_52,57,qs_x_s_0
3,57,57,1, そうなんですね。,default, そうなんですね。,re_x_d,0,0,3_d_0,4,re_x_d_0,re_x_d_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,58,re_x_d_0
3,128,128,1, なるほど、そうなんですね。,default, なるほど、そうなんですね。,re_x_d,0,0,3_d_0,6,re_x_d_0,re_x_d_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,59,re_x_d_0
3,1,1,1, そうなんですか．,default, そうなんですか。,re_x_d,0,0,3_d_0,0,re_x_d_0,re_x_d_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,60,re_x_d_0
3,3,3,1, よくご存じですね。,default, よくご存じですね。,re_o_m,25,0,3_d_1,1,re_o_m_0,re_o_m_25,qs_o_s_0,qs_o_s_8,qs_x_s_9,qs_x_s_34,qs_x_s_36,qs_x_s_20,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,61,re_x_d_1
4,6,6,1, ありがとうございます。参考にさせていただきます。,default, ありがとうございます。参考にさせていただきます。,thank,0,0,4_d_2,2,thank_0,thank_0,qs_o_s_0,qs_o_s_2,qs_o_s_8,qs_o_s_10,qs_x_s_9,qs_x_s_13,qs_x_s_20,qs_x_s_26,qs_x_s_34,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,62,thank_0
4,58,58,1, ありがとうございました・・,default, ありがとうございました。,thank,1,0,4_d_0,3,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,63,thank_1
4,18,18,1, ありがとうございます。,default, ありがとうございます。,thank,1,0,4_d_0,4,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,64,thank_1
4,1,1,1, そうなんですね．新しい知識が増えました！ありがとうございます！,default, そうなんですね、新しい知識が増えました！ありがとうございます！,thank,0,0,4_d_5,5,thank_0,thank_0,qs_o_s_0,qs_o_s_2,qs_o_s_8,qs_o_s_10,qs_x_s_9,qs_x_s_13,qs_x_s_20,qs_x_s_26,qs_x_s_34,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,65,thank_2
4,20,20,1, 貴重な体験談をありがとうございました。,旅行, 貴重な体験談をありがとうございました。,thank,1,0,4_t_0,0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,66,thank_1
5,20,20,1, 楽しそうですね！,default, 楽しそうですね！,re_o_m,0,0,5_d_0,0,re_o_m_0,re_o_m_0,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_5,qs_o_s_6,qs_o_s_7,qs_o_s_8,qs_o_s_9,qs_o_s_10,qs_o_s_15,qs_x_s_24,qs_x_s_26,qs_x_s_27,qs_x_s_29,qs_x_s_36,qs_x_s_23,qs_x_s_25,qs_x_s_13,qs_x_s_16,ct_0,,,,,,,,re_0,67,re_o_m_0
5,16,16,1, なるほど、勉強になります・・,default, なるほど、勉強になります。,re_o_m,1,0,5_d_1,1,re_o_m_0,re_o_m_1,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_1,qs_o_s_3,qs_o_s_9,qs_x_s_14,qs_x_s_15,qs_x_s_18,qs_x_s_5,qs_x_s_36,qs_x_s_30,,,,,,,,,,,,,,,,re_0,68,re_o_m_1
5,10,10,1, なるほど、面白そうですね！,default, なるほど、面白そうですね！,re_o_m,0,0,5_d_0,2,re_o_m_0,re_o_m_0,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_5,qs_o_s_6,qs_o_s_7,qs_o_s_8,qs_o_s_9,qs_o_s_10,qs_o_s_15,qs_x_s_24,qs_x_s_26,qs_x_s_27,qs_x_s_29,qs_x_s_36,qs_x_s_23,qs_x_s_25,qs_x_s_13,qs_x_s_16,ct_0,,,,,,,,re_0,69,re_o_m_0
5,8,8,1, そうですね・・ぜひ参考にさせていただきます。,default, そうですね、ぜひ参考にさせていただきます。,re_o_m,2,0,5_d_3,3,re_o_m_0,re_o_m_2,qs_o_s_0,qs_o_s_2,qs_o_s_8,qs_o_s_10,qs_x_s_9,qs_x_s_13,qs_x_s_20,qs_x_s_26,qs_x_s_34,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,70,re_o_m_2
5,1,1,1, そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！,default, そうなんですね、新しい知識が増えました。今度知りあいにもすすめてみたいと思います！,re_o_m,3,0,5_d_4,4,re_o_m_0,re_o_m_3,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_5,qs_o_s_6,qs_o_s_7,qs_o_s_8,qs_o_s_9,qs_o_s_10,qs_o_s_15,qs_x_s_24,qs_x_s_26,qs_x_s_27,qs_x_s_29,qs_x_s_36,qs_x_s_23,qs_x_s_25,qs_x_s_13,qs_x_s_16,ct_0,qs_x_s_30,,,,,,,re_0,71,re_o_m_3
5,4,4,1, たのしそうですね。,default, 楽しそうですね。,re_o_m,4,0,5_d_5,5,re_o_m_0,re_o_m_4,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_5,qs_o_s_6,qs_o_s_7,qs_o_s_8,qs_o_s_9,qs_o_s_10,qs_o_s_15,qs_x_s_24,qs_x_s_26,qs_x_s_27,qs_x_s_29,qs_x_s_36,qs_x_s_23,qs_x_s_25,qs_x_s_13,qs_x_s_16,ct_0,,,,,,,,re_0,72,re_o_m_4
5,1,1,1, そうですか、残念です・・,default, そうですか、残念です。,re_o_m,5,0,5_d_6,6,re_o_m_0,re_o_m_5,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,73,re_o_m_5
5,4,4,1, そうですか、なかなかですね。,default, そうですか、なかなかですね。,re_o_m,6,0,5_d_7,7,re_o_m_0,re_o_m_6,qs_o_s_13,qs_x_s_7,qs_x_s_19,qs_x_s_30,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,74,re_o_m_6
5,10,10,1, すごいですね！,default, すごいですね！,re_o_m,7,0,5_d_8,8,re_o_m_0,re_o_m_7,qs_o_s_13,qs_o_s_14,qs_x_s_7,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,75,re_o_m_7
5,18,18,1, すごいですね。,default, すごいですね。,re_o_m,7,0,5_d_8,9,re_o_m_0,re_o_m_7,qs_o_s_13,qs_o_s_14,qs_x_s_7,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,76,re_o_m_7
5,3,3,1, そうなんですか．それでは一度独自で調べてみたいと思います．,default, そうなんですか。それでは一度独自で調べてみたいと思います。,re_o_m,8,0,5_d_10,10,re_o_m_0,re_o_m_8,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_1,qs_o_s_3,qs_o_s_9,qs_x_s_14,qs_x_s_15,qs_x_s_18,qs_x_s_0,qs_x_s_2,qs_x_s_3,qs_x_s_5,qs_x_s_6,qs_x_s_8,qs_x_s_11,qs_x_s_17,qs_x_s_21,qs_x_s_23,qs_x_s_25,qs_x_s_28,qs_x_s_30,qs_x_s_33,qs_x_s_35,qs_x_s_36,ct_0,,re_0,77,re_o_m_8
5,38,38,1, 本当ですか！,default, 本当ですか！,re_o_m,9,0,5_d_11,11,re_o_m_0,re_o_m_9,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,78,re_o_m_9
5,1,1,1, そうなんですか．私も独自に調べてみますね．,default, そうなんですか。私も独自に調べてみますね。,re_o_m,8,0,5_d_10,12,re_o_m_0,re_o_m_8,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_1,qs_o_s_3,qs_o_s_9,qs_x_s_14,qs_x_s_15,qs_x_s_18,qs_x_s_0,qs_x_s_2,qs_x_s_3,qs_x_s_5,qs_x_s_6,qs_x_s_8,qs_x_s_11,qs_x_s_17,qs_x_s_21,qs_x_s_23,qs_x_s_25,qs_x_s_28,qs_x_s_30,qs_x_s_32,qs_x_s_33,qs_x_s_35,qs_x_s_36,ct_0,re_0,79,re_o_m_8
5,1,1,1, 大変ですよね。,default, 大変ですよね。,re_o_m,10,0,5_d_13,13,re_o_m_0,re_o_m_10,qs_o_s_13,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,80,re_o_m_10
5,3,3,1, いいですね，とても興味深いです！,default, いいですね、とても興味深いです！,re_o_m,11,0,5_d_14,14,re_o_m_0,re_o_m_11,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_1,qs_o_s_3,qs_o_s_9,qs_o_s_11,qs_x_s_3,qs_x_s_5,qs_x_s_6,qs_x_s_11,qs_x_s_14,qs_x_s_17,qs_x_s_18,qs_x_s_23,qs_x_s_25,qs_x_s_28,qs_x_s_30,qs_x_s_34,qs_x_s_35,ct_0,,,,,,,re_0,81,re_o_m_11
5,4,4,1, 面白いですよね。,default, 面白いですよね。,re_o_m,0,0,5_d_0,15,re_o_m_0,re_o_m_0,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_5,qs_o_s_6,qs_o_s_7,qs_o_s_8,qs_o_s_9,qs_o_s_10,qs_o_s_15,qs_x_s_24,qs_x_s_26,qs_x_s_27,qs_x_s_29,qs_x_s_36,qs_x_s_23,qs_x_s_25,qs_x_s_13,qs_x_s_16,ct_0,,,,,,,,re_0,82,re_o_m_0
5,3,3,1, それは大変ですよね。,default, それは大変ですよね。,re_o_m,12,0,5_d_13,16,re_o_m_0,re_o_m_12,qs_o_s_13,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,83,re_o_m_12
5,2,2,1, すごい！,default, すごい！,re_o_m,7,0,5_d_8,17,re_o_m_0,re_o_m_7,qs_o_s_13,qs_o_s_14,qs_x_s_7,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,84,re_o_m_7
5,8,8,1, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！,default, なるほど、それは面白そうですね。今度知り合いにもすすめてみたいと思います！,re_o_m,0,0,5_d_0,18,re_o_m_0,re_o_m_0,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_5,qs_o_s_6,qs_o_s_7,qs_o_s_8,qs_o_s_9,qs_o_s_10,qs_o_s_15,qs_x_s_24,qs_x_s_26,qs_x_s_27,qs_x_s_29,qs_x_s_36,qs_x_s_23,qs_x_s_25,qs_x_s_13,qs_x_s_16,ct_0,,,,,,,,re_0,85,re_o_m_0
5,12,12,1, それは面白そうですね。,default, それは面白そうですね。,re_o_m,0,0,5_d_0,19,re_o_m_0,re_o_m_0,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_5,qs_o_s_6,qs_o_s_7,qs_o_s_8,qs_o_s_9,qs_o_s_10,qs_o_s_15,qs_x_s_24,qs_x_s_26,qs_x_s_27,qs_x_s_29,qs_x_s_36,qs_x_s_23,qs_x_s_25,qs_x_s_13,qs_x_s_16,ct_0,,,,,,,,re_0,86,re_o_m_0
5,14,14,1, なるほど、それは面白そうですね。,default, なるほど、それは面白そうですね。,re_o_m,0,0,5_d_0,20,re_o_m_0,re_o_m_0,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_5,qs_o_s_6,qs_o_s_7,qs_o_s_8,qs_o_s_9,qs_o_s_10,qs_o_s_15,qs_x_s_24,qs_x_s_26,qs_x_s_27,qs_x_s_29,qs_x_s_36,qs_x_s_23,qs_x_s_25,qs_x_s_13,qs_x_s_16,ct_0,,,,,,,,re_0,87,re_o_m_0
5,7,7,1, なるほど、それはリラックスできますね。,旅行, なるほど、それはリラックスできますね。,re_o_m,22,0,5_t_0,0,re_o_m_0,re_o_m_22,qs_x_s_30,qs_o_s_12,qs_o_s_14,qs_x_s_30,qs_x_s_31,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,97,re_o_m_22
5,10,10,1, なるほど、それは素晴らしい経験ですね。,旅行, なるほど、それは素晴らしい経験ですね。,re_o_m,23,0,5_t_1,1,re_o_m_0,re_o_m_23,qs_o_s_12,qs_o_s_13,qs_o_s_14,qs_x_s_30,qs_x_s_31,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,98,re_o_m_23
5,5,5,1, すごい！面白い体験をされましたね!,旅行, すごい！面白い体験をされましたね!,re_o_m,24,0,5_t_1,2,re_o_m_0,re_o_m_24,qs_o_s_12,qs_o_s_13,qs_o_s_14,qs_x_s_30,qs_x_s_31,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,99,re_o_m_24
6,31,31,1, もう少し詳しく教えていただいていいですか。,default, もう少し詳しく教えていただいていいですか？,qs_o_d,0,0,6_d_0,0,qs_o_d_0,qs_o_d_0,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_1,qs_o_s_3,qs_x_s_3,qs_x_s_5,qs_x_s_11,qs_x_s_21,qs_x_s_30,qs_x_s_33,qs_x_s_36,ct_0,,,,,,,,,,,,,,,qs_53,100,qs_o_d_0
6,3,3,1, どういったところが好きなんですか？,default, どういったところが好きなんですか？,qs_o_d,1,1,6_d_1,1,qs_o_d_0,qs_o_d_1,qs_x_s_0,qs_o_s_8,qs_x_s_7,qs_x_s_4,qs_x_s_10,qs_x_s_12,qs_x_s_14,qs_x_s_29,qs_x_s_25,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_54,101,qs_o_d_1
6,20,20,1, 具体的に教えてもらっていいですか？,default, 具体的に教えてもらっていいですか？,qs_o_d,2,2,6_d_2,2,qs_o_d_0,qs_o_d_2,qs_x_s_35,qs_x_s_31,qs_x_s_12,qs_x_s_15,qs_x_s_21,qs_x_s_22,qs_x_s_25,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_55,102,
6,13,13,1, 具体的には教えてもらえますか？,default, 具体的には教えてもらえますか？,qs_o_d,2,2,6_d_2,3,qs_o_d_0,qs_o_d_2,qs_x_s_35,qs_x_s_31,qs_x_s_12,qs_x_s_15,qs_x_s_21,qs_x_s_22,qs_x_s_25,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_55,103,
6,9,9,1, 具体的には何ですか？,default, 具体的には何ですか？,qs_o_d,2,2,6_d_2,4,qs_o_d_0,qs_o_d_2,qs_x_s_35,qs_x_s_31,qs_x_s_12,qs_x_s_15,qs_x_s_21,qs_x_s_22,qs_x_s_25,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_55,104,
6,5,5,1, それのどういったところが好きなんですか？,default, それのどういったところが好きなんですか？,qs_o_d,3,3,6_d_5,5,qs_o_d_0,qs_o_d_3,qs_x_s_0,qs_o_s_8,qs_x_s_7,qs_x_s_4,qs_x_s_10,qs_x_s_12,qs_x_s_14,qs_x_s_29,qs_x_s_25,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_56,105,
6,19,19,1, 具体的にはどういったものですか？,default, 具体的にはどういったものですか？,qs_o_d,4,4,6_d_6,6,qs_o_d_0,qs_o_d_2,qs_x_s_35,qs_x_s_31,qs_x_s_12,qs_x_s_15,qs_x_s_21,qs_x_s_22,qs_x_s_25,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_57,106,
6,2,2,1, ほかには、ありますか？,default, ほかには、ありますか？,qs_o_d,5,5,6_d_7,7,qs_o_d_0,qs_o_d_4,qs_o_s_0,qs_x_s_1,qs_o_s_8,qs_x_s_4,qs_x_s_9,qs_x_s_13,qs_x_s_20,qs_x_s_27,qs_x_s_34,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_58,107,
6,3,3,1, 具体的に教えてください？,default, 具体的に教えてください？,qs_o_d,2,2,6_d_2,8,qs_o_d_0,qs_o_d_2,qs_x_s_35,qs_x_s_31,qs_x_s_12,qs_x_s_15,qs_x_s_21,qs_x_s_22,qs_x_s_25,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_55,108,
6,2,2,1, そのほかで、おすすめのものはありますか？あったら教えてください．,default, そのほかで、おすすめのものはありますか？あったら教えてください？,qs_o_d,6,6,6_d_9,9,qs_o_d_0,qs_o_d_5,qs_o_s_0,qs_x_s_1,qs_o_s_8,qs_x_s_4,qs_x_s_9,qs_x_s_13,qs_x_s_20,qs_x_s_27,qs_x_s_34,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_59,109,
6,6,6,1, そのほかにおすすめのものはありますか？,default, そのほかにおすすめのものはありますか？,qs_o_d,6,6,6_d_9,10,qs_o_d_0,qs_o_d_5,qs_o_s_0,qs_x_s_1,qs_o_s_8,qs_x_s_4,qs_x_s_9,qs_x_s_13,qs_x_s_20,qs_x_s_27,qs_x_s_34,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_59,110,
7,4,4,1, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・,旅行, 先日旅行にいった知り合いが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです。,io,0,0,7_t_0,0,io_0,io_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,io_5,116,io_5
8,,,,*** これから旅行の話をしましょう***,旅行,,ct,0,0,8_d_3,,ct_0,ct_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ct_3,120,ct_3
