clsKM,freq,freq_1cls,ratio,agent_utterance,theme,agent_utterance_refine,cls,ID,ID4,name,number,cls_ID_state,cls_ID_action,precan_0,precan_1,precan_2,precan_3,precan_4,precan_5,precan_6,precan_7,precan_8,precan_9,precan_10,precan_11,precan_12,precan_13,precan_14,precan_15,precan_16,precan_17,precan_18,precan_19,precan_20,precan_21,precanb_0,precanb_1,precanb_2,precanb_3,precanb_4,precanb_5,precanb_6,precanb_7,precanb_8,precanb_9,precanb_10,precanb_11,precanb_12,precanb_13,precanb_14,precanb_15,precanb_16,precanb_17,precanb_18,precanb_19,precanb_20,precanb_21,precanb_22,cls_ID4,ID117,cls_ID
2,3,3,1, 好きなスポーツはなんですか？,スポーツ, 好きなスポーツはなんですか？,qs_x_s,0,4,2_s_2,2,qs_x_s_4,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_20,25,qs_x_s_0
2,15,15,1, オリンピックは今までに見たことはありますか？,スポーツ, オリンピックは今までに見たことはありますか？,qs_x_s,0,5,2_s_3,3,qs_x_s_5,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_21,26,qs_x_s_0
2,1,1,1, スポーツはよくするんですか？,スポーツ, スポーツはよくするんですか？,qs_x_s,0,6,2_s_4,4,qs_x_s_6,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_22,27,qs_x_s_0
2,1,1,1, どんなスポーツをされますか？,スポーツ, どんなスポーツをされますか？,qs_x_s,0,7,2_s_5,5,qs_x_s_7,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_23,28,qs_x_s_0
2,7,7,1, 最近スポーツはしましたか？,スポーツ, 最近スポーツはしましたか？,qs_x_s,0,8,2_s_6,6,qs_x_s_8,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_24,29,qs_x_s_0
2,5,5,1, なにかおすすめのスポーツ観戦はありますか？,スポーツ, なにかおすすめのスポーツ観戦はありますか？,qs_x_s,0,9,2_s_7,7,qs_x_s_9,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_25,30,qs_x_s_0
2,7,7,1, 競技はなにをご覧になりますか？,スポーツ, 競技は何をご覧になりますか？,qs_x_s,0,10,2_s_8,8,qs_x_s_10,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_26,31,qs_x_s_0
2,16,16,1, パリで開催されるオリンピックを、見にいく予定はありますか？,スポーツ, パリで開催されるオリンピックを、見にいく予定はありますか？,qs_x_s,0,11,2_s_9,9,qs_x_s_11,qs_x_s_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_27,32,qs_x_s_0
3,57,57,1, そうなんですね。,default, そうなんですね。,re_x_d,0,0,3_d_0,4,re_x_d_0,re_x_d_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,58,re_x_d_0
3,128,128,1, なるほど、そうなんですね。,default, なるほど、そうなんですね。,re_x_d,0,0,3_d_0,6,re_x_d_0,re_x_d_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,59,re_x_d_0
3,1,1,1, そうなんですか．,default, そうなんですか。,re_x_d,0,0,3_d_0,0,re_x_d_0,re_x_d_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,60,re_x_d_0
3,3,3,1, よくご存じですね。,default, よくご存じですね。,re_o_m,25,0,3_d_1,1,re_o_m_0,re_o_m_25,qs_o_s_3,qs_x_s_9,qs_x_s_34,qs_x_s_36,qs_x_s_20,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,61,re_x_d_1
4,6,6,1, ありがとうございます。参考にさせていただきます。,default, ありがとうございます。参考にさせていただきます。,thank,0,0,4_d_2,2,thank_0,thank_0,qs_o_s_0,qs_o_s_2,qs_o_s_8,qs_o_s_10,qs_x_s_9,qs_x_s_13,qs_x_s_20,qs_x_s_26,qs_x_s_34,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,62,thank_0
4,58,58,1, ありがとうございました・・,default, ありがとうございました。,thank,1,0,4_d_0,3,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,63,thank_1
4,18,18,1, ありがとうございます。,default, ありがとうございます。,thank,1,0,4_d_0,4,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,64,thank_1
4,1,1,1, そうなんですね．新しい知識が増えました！ありがとうございます！,default, そうなんですね、新しい知識が増えました！ありがとうございます！,thank,0,0,4_d_5,5,thank_0,thank_0,qs_o_s_2,qs_x_s_9,qs_x_s_13,qs_x_s_20,qs_x_s_26,qs_x_s_34,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,65,thank_2
5,20,20,1, 楽しそうですね！,default, 楽しそうですね！,re_o_m,0,0,5_d_0,0,re_o_m_0,re_o_m_0,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_5,qs_o_s_6,qs_o_s_7,qs_o_s_8,qs_o_s_9,qs_o_s_10,qs_o_s_15,qs_x_s_24,qs_x_s_26,qs_x_s_27,qs_x_s_29,qs_x_s_36,qs_x_s_23,qs_x_s_25,qs_x_s_13,qs_x_s_16,ct_0,,,,,,,re_0,67,re_o_m_0
5,16,16,1, なるほど、勉強になります・・,default, なるほど、勉強になります。,re_o_m,1,0,5_d_1,1,re_o_m_0,re_o_m_1,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_1,qs_o_s_3,qs_o_s_9,qs_x_s_14,qs_x_s_15,qs_x_s_18,qs_x_s_5,Ct_0,,ct_0,,,,,,,,,,,,,,re_0,68,re_o_m_1
5,10,10,1, なるほど、面白そうですね！,default, なるほど、面白そうですね！,re_o_m,0,0,5_d_0,2,re_o_m_0,re_o_m_0,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_5,qs_o_s_6,qs_o_s_7,qs_o_s_8,qs_o_s_9,qs_o_s_10,qs_o_s_15,qs_x_s_24,qs_x_s_26,qs_x_s_27,qs_x_s_29,qs_x_s_36,qs_x_s_23,qs_x_s_25,qs_x_s_13,qs_x_s_16,ct_0,,,,,,,re_0,69,re_o_m_0
5,8,8,1, そうですね・・ぜひ参考にさせていただきます。,default, そうですね、ぜひ参考にさせていただきます。,re_o_m,2,0,5_d_3,3,re_o_m_0,re_o_m_2,qs_o_s_0,qs_o_s_2,qs_o_s_10,qs_x_s_9,qs_x_s_13,qs_x_s_20,qs_x_s_26,qs_x_s_34,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,70,re_o_m_2
5,1,1,1, そうなんですね，新しい知識が増えました，今度知りあいにもすすめてみたいと思います！,default, そうなんですね、新しい知識が増えました。今度知りあいにもすすめてみたいと思います！,re_o_m,3,0,5_d_4,4,re_o_m_0,re_o_m_3,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_5,qs_o_s_6,qs_o_s_7,qs_o_s_8,qs_o_s_9,qs_o_s_10,qs_o_s_15,qs_x_s_24,qs_x_s_26,qs_x_s_27,qs_x_s_29,qs_x_s_36,qs_x_s_23,qs_x_s_25,qs_x_s_13,qs_x_s_16,ct_0,,,,,,,re_0,71,re_o_m_3
5,4,4,1, たのしそうですね。,default, 楽しそうですね。,re_o_m,4,0,5_d_5,5,re_o_m_0,re_o_m_4,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_5,qs_o_s_6,qs_o_s_7,qs_o_s_8,qs_o_s_9,qs_o_s_10,qs_o_s_15,qs_x_s_24,qs_x_s_26,qs_x_s_27,qs_x_s_29,qs_x_s_36,qs_x_s_23,qs_x_s_25,qs_x_s_13,qs_x_s_16,ct_0,,,,,,,re_0,72,re_o_m_4
5,1,1,1, そうですか、残念です・・,default, そうですか、残念です。,re_o_m,5,0,5_d_6,6,re_o_m_0,re_o_m_5,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,73,re_o_m_5
5,4,4,1, そうですか、なかなかですね。,default, そうですか、なかなかですね。,re_o_m,6,0,5_d_7,7,re_o_m_0,re_o_m_6,qs_o_s_13,qs_x_s_7,qs_x_s_19,qs_x_s_30,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,74,re_o_m_6
5,10,10,1, すごいですね！,default, すごいですね！,re_o_m,7,0,5_d_8,8,re_o_m_0,re_o_m_7,qs_o_s_13,qs_o_s_14,qs_x_s_7,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,75,re_o_m_7
5,18,18,1, すごいですね。,default, すごいですね。,re_o_m,7,0,5_d_8,9,re_o_m_0,re_o_m_7,qs_o_s_13,qs_o_s_14,qs_x_s_7,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,76,re_o_m_7
5,3,3,1, そうなんですか．それでは一度独自で調べてみたいと思います．,default, そうなんですか。それでは一度独自で調べてみたいと思います。,re_o_m,8,0,5_d_10,10,re_o_m_0,re_o_m_8,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_1,qs_o_s_3,qs_o_s_9,qs_x_s_14,qs_x_s_15,qs_x_s_18,qs_x_s_0,qs_x_s_2,qs_x_s_3,qs_x_s_5,qs_x_s_6,qs_x_s_8,qs_x_s_11,qs_x_s_17,qs_x_s_21,qs_x_s_23,qs_x_s_25,qs_x_s_28,qs_x_s_30,qs_x_s_33,qs_x_s_35,qs_x_s_36,ct_0,re_0,77,re_o_m_8
5,38,38,1, 本当ですか！,default, 本当ですか！,re_o_m,9,0,5_d_11,11,re_o_m_0,re_o_m_9,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,78,re_o_m_9
5,1,1,1, そうなんですか．私も独自に調べてみますね．,default, そうなんですか。私も独自に調べてみますね。,re_o_m,8,0,5_d_10,12,re_o_m_0,re_o_m_8,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_1,qs_o_s_3,qs_o_s_9,qs_x_s_14,qs_x_s_15,qs_x_s_18,qs_x_s_0,qs_x_s_2,qs_x_s_3,qs_x_s_5,qs_x_s_6,qs_x_s_8,qs_x_s_11,qs_x_s_17,qs_x_s_21,qs_x_s_23,qs_x_s_25,qs_x_s_28,qs_x_s_30,qs_x_s_32,qs_x_s_33,qs_x_s_35,ct_0,re_0,79,re_o_m_8
5,1,1,1, 大変ですよね。,default, 大変ですよね。,re_o_m,10,0,5_d_13,13,re_o_m_0,re_o_m_10,qs_o_s_13,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,80,re_o_m_10
5,3,3,1, いいですね，とても興味深いです！,default, いいですね、とても興味深いです！,re_o_m,11,0,5_d_14,14,re_o_m_0,re_o_m_11,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_1,qs_o_s_3,qs_o_s_9,qs_o_s_11,qs_x_s_3,qs_x_s_5,qs_x_s_6,qs_x_s_11,qs_x_s_14,qs_x_s_17,qs_x_s_18,qs_x_s_23,qs_x_s_25,qs_x_s_28,qs_x_s_30,qs_x_s_34,qs_x_s_35,ct_0,,,,,,re_0,81,re_o_m_11
5,4,4,1, 面白いですよね。,default, 面白いですよね。,re_o_m,0,0,5_d_0,15,re_o_m_0,re_o_m_0,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_5,qs_o_s_6,qs_o_s_7,qs_o_s_8,qs_o_s_9,qs_o_s_10,qs_o_s_15,qs_x_s_24,qs_x_s_26,qs_x_s_27,qs_x_s_29,qs_x_s_36,qs_x_s_23,qs_x_s_25,qs_x_s_13,qs_x_s_16,ct_0,,,,,,,re_0,82,re_o_m_0
5,3,3,1, それは大変ですよね。,default, それは大変ですよね。,re_o_m,12,0,5_d_13,16,re_o_m_0,re_o_m_12,qs_o_s_13,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,83,re_o_m_12
5,2,2,1, すごい！,default, すごい！,re_o_m,7,0,5_d_8,17,re_o_m_0,re_o_m_7,qs_o_s_13,qs_o_s_14,qs_x_s_7,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,84,re_o_m_7
5,8,8,1, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！,default, なるほど、それは面白そうですね。今度知り合いにもすすめてみたいと思います！,re_o_m,0,0,5_d_0,18,re_o_m_0,re_o_m_0,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_5,qs_o_s_6,qs_o_s_7,qs_o_s_8,qs_o_s_9,qs_o_s_10,qs_o_s_15,qs_x_s_24,qs_x_s_26,qs_x_s_27,qs_x_s_29,qs_x_s_36,qs_x_s_23,qs_x_s_25,qs_x_s_13,qs_x_s_16,ct_0,,,,,,,re_0,85,re_o_m_0
5,12,12,1, それは面白そうですね。,default, それは面白そうですね。,re_o_m,0,0,5_d_0,19,re_o_m_0,re_o_m_0,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_5,qs_o_s_6,qs_o_s_7,qs_o_s_8,qs_o_s_9,qs_o_s_10,qs_o_s_15,qs_x_s_24,qs_x_s_26,qs_x_s_27,qs_x_s_29,qs_x_s_36,qs_x_s_23,qs_x_s_25,qs_x_s_13,qs_x_s_16,ct_0,,,,,,,re_0,86,re_o_m_0
5,14,14,1, なるほど、それは面白そうですね。,default, なるほど、それは面白そうですね。,re_o_m,0,0,5_d_0,20,re_o_m_0,re_o_m_0,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_5,qs_o_s_6,qs_o_s_7,qs_o_s_8,qs_o_s_9,qs_o_s_10,qs_o_s_15,qs_x_s_24,qs_x_s_26,qs_x_s_27,qs_x_s_29,qs_x_s_36,qs_x_s_23,qs_x_s_25,qs_x_s_13,qs_x_s_16,ct_0,,,,,,,re_0,87,re_o_m_0
5,10,10,1, なるほど、健康的で、ステキですね・・,スポーツ, なるほど、健康的で素敵ですね。,re_o_m,13,0,5_s_0,0,re_o_m_0,re_o_m_13,qs_x_s_6,qs_x_s_7,qs_x_s_8,qs_o_s_2,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,88,re_o_m_13
5,9,9,1, いいですね。テレビ観戦も楽しそうですね！,スポーツ, いいですね。テレビ観戦も楽しそうですね！,re_o_m,14,0,5_s_1,1,re_o_m_0,re_o_m_14,qs_x_s_9,qs_x_s_10,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,89,re_o_m_14
5,2,2,1, なるほど、面白そうですね，機会があればわたしも見てみたいです！,スポーツ, なるほど、面白そうですね。機会があれば私も見てみたいです！,re_o_m,15,0,5_s_2,2,re_o_m_0,re_o_m_15,qs_x_s_9,qs_x_s_10,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,re_0,90,re_o_m_15
6,31,31,1, もう少し詳しく教えていただいていいですか。,default, もう少し詳しく教えていただいていいですか？,qs_o_d,0,0,6_d_0,0,qs_o_d_0,qs_o_d_0,,,,,,,,,,,,,,,,,,,,,,,qs_o_s_1,qs_o_s_3,qs_x_s_3,qs_x_s_5,qs_x_s_11,qs_x_s_21,qs_x_s_30,qs_x_s_33,qs_x_s_36,ct_0,,,,,,,,,,,,,,qs_53,100,qs_o_d_0
6,3,3,1, どういったところが好きなんですか？,default, どういったところが好きなんですか？,qs_o_d,1,1,6_d_1,1,qs_o_d_0,qs_o_d_1,qs_x_s_0,qs_o_s_8,qs_x_s_7,qs_x_s_4,qs_x_s_10,qs_x_s_12,qs_x_s_14,qs_x_s_29,qs_x_s_25,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_54,101,qs_o_d_1
6,20,20,1, 具体的に教えてもらっていいですか？,default, 具体的に教えてもらっていいですか？,qs_o_d,2,2,6_d_2,2,qs_o_d_0,qs_o_d_2,qs_x_s_9,qs_x_s_6,qs_x_s_12,qs_x_s_15,qs_x_s_21,qs_x_s_22,qs_x_s_25,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_55,102,
6,13,13,1, 具体的には教えてもらえますか？,default, 具体的には教えてもらえますか？,qs_o_d,2,2,6_d_2,3,qs_o_d_0,qs_o_d_2,qs_x_s_9,qs_x_s_6,qs_x_s_12,qs_x_s_15,qs_x_s_21,qs_x_s_22,qs_x_s_25,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_55,103,
6,9,9,1, 具体的には何ですか？,default, 具体的には何ですか？,qs_o_d,2,2,6_d_2,4,qs_o_d_0,qs_o_d_2,qs_x_s_9,qs_x_s_6,qs_x_s_12,qs_x_s_15,qs_x_s_21,qs_x_s_22,qs_x_s_25,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_55,104,
6,5,5,1, それのどういったところが好きなんですか？,default, それのどういったところが好きなんですか？,qs_o_d,3,3,6_d_5,5,qs_o_d_0,qs_o_d_3,qs_x_s_0,qs_o_s_8,qs_x_s_7,qs_x_s_4,qs_x_s_10,qs_x_s_12,qs_x_s_14,qs_x_s_29,qs_x_s_25,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_56,105,
6,19,19,1, 具体的にはどういったものですか？,default, 具体的にはどういったものですか？,qs_o_d,4,4,6_d_6,6,qs_o_d_0,qs_o_d_2,qs_x_s_9,qs_x_s_6,qs_x_s_12,qs_x_s_15,qs_x_s_21,qs_x_s_22,qs_x_s_25,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_57,106,
6,2,2,1, ほかには、ありますか？,default, ほかには、ありますか？,qs_o_d,5,5,6_d_7,7,qs_o_d_0,qs_o_d_4,qs_o_s_0,qs_x_s_1,qs_o_s_8,qs_x_s_4,qs_x_s_9,qs_x_s_13,qs_x_s_20,qs_x_s_27,qs_x_s_34,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_58,107,
6,3,3,1, 具体的に教えてください？,default, 具体的に教えてください？,qs_o_d,2,2,6_d_2,8,qs_o_d_0,qs_o_d_2,qs_x_s_9,qs_x_s_6,qs_x_s_12,qs_x_s_15,qs_x_s_21,qs_x_s_22,qs_x_s_25,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_55,108,
6,2,2,1, そのほかで、おすすめのものはありますか？あったら教えてください．,default, そのほかで、おすすめのものはありますか？あったら教えてください？,qs_o_d,6,6,6_d_9,9,qs_o_d_0,qs_o_d_5,qs_o_s_0,qs_x_s_1,qs_o_s_8,qs_x_s_4,qs_x_s_9,qs_x_s_13,qs_x_s_20,qs_x_s_27,qs_x_s_34,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_59,109,
6,6,6,1, そのほかにおすすめのものはありますか？,default, そのほかにおすすめのものはありますか？,qs_o_d,6,6,6_d_9,10,qs_o_d_0,qs_o_d_5,qs_o_s_0,qs_x_s_1,qs_o_s_8,qs_x_s_4,qs_x_s_9,qs_x_s_13,qs_x_s_20,qs_x_s_27,qs_x_s_34,re_x_m_0,re_x_d_0,re_o_m_0,io_0,qs_o_d_0,thank_0,thank_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,qs_59,110,
7,19,19,1, 1924年以来100年ぶりのパリでのオリンピック開催らしいです。,スポーツ, 1924年以来100年ぶりのパリでのオリンピック開催らしいです。,io,0,0,7_s_0,0,io_0,io_0,qs_x_s_3,,,,,,,,,,,,,,,,,,,,,,ct_0,,,,,,,,,,,,,,,,,,,,,,,io_0,111,io_0
7,4,4,1, まだまだ寒いので、体を動かして温まりたいですよね。,スポーツ, まだまだ寒いので、体を動かして温まりたいですよね。,io,0,0,7_s_1,1,io_0,io_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,io_1,112,io_1
8,,,,*** これからスポーツの話をしましょう***,スポーツ,,ct,0,0,8_d_0,,ct_0,ct_0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ct_0,117,ct_0
