exchgID,state,action,theme,UI,utterance
16_U,-,-,-,4.369808638377016,
17_S,qs_x_s_21_Nx_n_po,qs_x_s,音楽,-, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
17_U,-,-,-,4.465955748331355,
18_S,qs_x_s_12_Nx_n_po,qs_x_s,音楽,-, がっきは何を演奏するのですか。
18_U,-,-,-,4.426920750534313,
19_S,qs_x_s_19_Nx_n_po,qs_x_s,音楽,-, カラオケは好きですか？
19_U,-,-,-,4.078181625086973,
20_S,qs_x_s_14_Nx_n_po,qs_x_s,音楽,-, 「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？
20_U,-,-,-,4.3017436795390225,
21_S,qs_x_s_1_Nx_n_po,qs_x_s,音楽,-, コンサートとかには行きますか？
21_U,-,-,-,4.353114718675669,
22_S,qs_x_s_15_Nx_n_po,qs_x_s,音楽,-, おすすめの曲はありますか？
22_U,-,-,-,4.3860508338974675,
23_S,qs_x_s_20_Nx_n_po,qs_x_s,音楽,-, カラオケに行くときはお友達と行きますか？
23_U,-,-,-,4.3617857335578485,
24_S,qs_x_s_17_Nx_n_po,qs_x_s,音楽,-, 最近音楽は聞きましたか？
24_U,-,-,-,4.2441656218889,
25_S,qs_x_s_28_Nx_n_po,change_theme,-,-, *** これから食事の話をしましょう***
25_U,-,-,-,3.9386085046991153,
26_S,ct_0,qs_x_s,食事,-, お友達とランチに行ったりしますか？
26_U,-,-,-,4.3306550559024,
27_S,qs_x_s_28_Nx_n_po,qs_x_s,食事,-, 普段はどこでスイーツを買いますか？
27_U,-,-,-,4.584891785352386,
28_S,qs_x_s_26_Nx_n_po,qs_x_s,食事,-, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？
28_U,-,-,-,4.226414073914818,
29_S,qs_x_s_24_Nx_n_po,qs_x_s,食事,-, 最近はまっている食べ物はありますか・・
29_U,-,-,-,4.225731341628206,
30_S,qs_x_s_27_Nx_n_po,qs_x_s,食事,-, 私の知りあいの人はおつまみが好きで、さきいかにマヨネーズと七味をつけて食べるのが好きだそうです。おつまみは食べますか？
30_U,-,-,-,4.195417523927749,
31_S,qs_x_s_23_Nx_n_po,qs_x_s,食事,-, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？
31_U,-,-,-,4.466345833534733,
32_S,qs_x_s_29_Nx_n_po,qs_x_s,食事,-, 甘いものと、からいものどちらがお好きですか？
32_U,-,-,-,4.515036926582667,
33_S,qs_x_s_25_Nx_n_po,qs_x_s,食事,-, どんなところに行きますか？和食ですか洋食ですか？
33_U,-,-,-,4.5619335603314415,
34_S,qs_x_s_30_Nx_n_po,change_theme,-,-, *** これから旅行の話をしましょう***
34_U,-,-,-,3.6388392986146743,
35_S,ct_0,qs_x_s,旅行,-, 旅行はどこに行ったことがありますか？
35_U,-,-,-,4.411755699720435,
36_S,qs_x_s_31_Nx_n_po,qs_x_s,旅行,-, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？
36_U,-,-,-,4.15232284678386,
37_S,qs_x_s_36_Nx_n_po,qs_x_s,旅行,-, 今までいった「旅行」で特におすすめの場所はありますか？
37_U,-,-,-,4.195897926433843,
38_S,qs_x_s_34_Nx_n_po,qs_x_s,旅行,-, 旅行に行くときはなにか目的はありますか？
38_U,-,-,-,4.165245517957568,
39_S,qs_x_s_32_Nx_n_po,qs_x_s,旅行,-, さいきん旅行には行きましたか？
39_U,-,-,-,4.216192107999792,
40_S,qs_x_s_35_Nx_n_po,qs_x_s,旅行,-, 旅行にはよく行かれますか？
40_U,-,-,-,4.107477096030481,
41_S,qs_x_s_30_Nx_n_po,qs_x_s,旅行,-, 「温泉」などリフレッシュするためにいきますか？
41_U,-,-,-,4.101630717111387,
