name,sys_utterance,user_utterance,UI3average,UI3average_diff,
1902F2001_072, 「エスエヌエス」を利用して、何か面白かったことはありますか・・,ストーリーっていう機能でみんなで楽しいことを共有できるのが面白いと思います,5.2,0.4,
1902F2001_073, なるほど、そういうふうに利用されているのですね。,＊,4,-1.2,
1902F2001_074, 具体的になんのために利用していますか？,サークルの楽しいことがあった時とかに使います,5,1,
1902F2001_075, なるほど、勉強になります・・,＊,4.2,-0.8,
1902F2001_076, 「エスエヌエス」を利用していてハプニングにあったことはありますか？,＊,3.6,-0.6,
1902F2001_077, なるほど、そうなんですね。,＊,4,0.4,
1902F2001_078, これは「おすすめ」というものはありますか？,＊,3.2,-0.8,
1902F2001_079, おすすめの便利なきのうとかはありますか？,アカウントを非公開にできること,3.6,0.4,
1902F2001_080, なるほど、勉強になります・・,＊,4,0.4,
1902F2001_081, ショッピングで「アマゾン」などはよく利用しますか？,あまり使いません,3,-1,
1902F2001_082, そうなんですね。,＊,3.8,0.8,
1902F2001_084, 学生時代、一番楽しかった学年はありますか？,大学3回生です,5,1,
1902F2001_085, その時、どんなことをしたのですか？,サークルが充実してたのと同時に学校の勉強に頑張っていたのに,5.4,0.4,
1902F2001_086, それは楽しい時間でしたね！,＊,4.2,-1.2,
1902F2001_087, ほかにエピソードはありますか？,大学でハンドボールサークルとダンスサークルに入っていてダンスサークルの大会で何回も優勝したことです,6,1.8,
1902F2001_088, それはご活躍されたんですね・・,＊,4,-2,
1902F2001_089, 運動会や、学芸会などのイベントで面白かった体験はありますか？,小学校の音楽会で TOKIO 演奏した時に手が滑って眼鏡取れてしまったことです,5.6,1.6,
1902F2001_090, それはたいへんでしたね。,＊,4.4,-1.2,
1902F2001_091, ほかにたいへんだったことはありますか？,運動会のダンスの練習中に怪我で全然練習に参加できなかったことです,4.6,0.199999999999999,
1902F2001_092, それはたいへんでしたね。,＊,4,-0.6,
1902F2001_093, 貴重な体験談をありがとうございました・・,＊,4,0,
1902F2001_095, さいきん旅行には行きましたか？,＊,5.4,1.4,
1902F2001_096, 旅行はどこに行ったことがありますか？,アメリカとオーストラリアとオーストリアとドイツと香港と中国と韓国と,6,0.6,
1902F2001_097, すごいですね。,＊,4.4,-1.6,
1902F2001_098, 今までいった「旅行」で特におすすめの場所はありますか？,＊,6.2,1.8,
1902F2001_099, その旅先で何が一番楽しかったですか？,ディズニーランドは楽しかったです,5.8,-0.4,
1902F2001_100, 具体的には教えてもらえますか？,ディズニーランドが日本と違ってすごい広くてアトラクションも充実していたのでそれがすごく楽しかったね,5.8,0,
1902F2001_101, すごい！面白い体験をされましたね!,＊,3.8,-2,
1902F2001_102, 数年前からスペインの「バルセロナ」は人気の観光スポットですが、ご存知ですか？,＊,4.6,0.8,
1902F2001_103, 先日、旅行にいったしりあいが、サグラダファミリア教会は「見ると感動する」と言っていました。そのほかグエル公園なども人気で、ほかには美術館もたくさんあって、「ピカソ」や「ミロ」もあるそうです・・,＊,3.8,-0.8,
1902F2001_104, 旅行に行くときはなにか目的はありますか？,特にないです,3.2,-0.6,
1902F2001_105, たとえば、たてものをみる、とか美術館にいく、とか、おいしいものをたべるとか・・,その国の絶景とかは見に行きます,4.6,1.4,
1902F2001_106, そうなんですね。,＊,4,-0.6,
1902F2001_107, なるほど、それは面白そうですね。,＊,3.4,-0.6,
1902F2001_108, 貴重な体験談をありがとうございました。,＊,3.6,0.2,
1902F2002_008, 甘いものと、からいものどちらがお好きですか？,両方好きです,5,1,
1902F2002_009, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,ケーキが好きで,4.8,-0.2,
1902F2002_010, 具体的には何ですか？,ショートケーキとか,5.4,0.600000000000001,
1902F2002_011, 普段はどこでスイーツを買いますか？,三和近くのケーキ屋さんなどで買います後カフェで食べたりする,5.4,0,
1902F2002_012, その中でもおすすめのスイーツはありますか？,ナツメの実は最近ティラミスにはまってるのでティラミスがおすすめです,5.2,-0.2,
1902F2002_013, そうですか、とても美味しそうですね・・,＊,4,-1.2,
1902F2002_014, からい食べものとはどんな食べものが好きですか？,辛い食べ物は担々麺などから目のめんどいがかなり好きです,6,2,
1902F2002_015, それは「最近」食べられたんですか？,食べてないんですけど結構ちょくちょくと食べます,5.2,-0.8,
1902F2002_016, どこで食べられたんですか・・,梅田とかのラーメン屋さんかで,5,-0.2,
1902F2002_017, お友達とランチに行ったりしますか？,＊,5.6,0.6,
1902F2002_018, どんなところに行きますか？和食ですか洋食ですか？,＊,4.6,-1,
1902F2002_019, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。,＊,4.4,-0.199999999999999,
1902F2002_020, なるほど。,＊,4,-0.4,
1902F2002_021, ありがとうございます。,＊,4.2,0.2,
1902F2002_023, 休日は家で過ごすほうが多いですか？外出することが多いですか？,5日休みがあったら1日は当然して1日は無理と家にいるっていう形が多いです,5.2,1.2,
1902F2002_024, そうなんですね。,＊,4,-1.2,
1902F2002_025, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？,映画を見たりマンガ本は結構読みます,5.2,1.2,
1902F2002_027, 最近映画は見ましたか？,＊,5,1,
1902F2002_028, それは一体どういった内容なんですか？,クイーンの出ている国今までの映画を見ました,5.2,0.2,
1902F2002_028, それは一体どういった内容なんですか？,クイーンの出ている国今までの映画を見ました,5.2,0,
1902F2002_029, それのどういったところが好きなんですか？,聞いたことのある音楽で映画の作りもとても良かったです,5.6,0.4,
1902F2002_030, なるほど、それは面白そうですね！私も観てみたいです！,見てみてください,4.4,-1.2,
1902F2002_031, ありがとうございます。,＊,4.2,-0.2,
1902F2002_032, では，もう一度見たい映画はありますか？,もう一度見たい映画が韓国映画なんですけど7番房の奇跡っていう映画はとても良かったのでもう一度見たいなと思います,5.6,1.4,
1902F2002_033, それは一体どういった内容なんですか？,刑務所の中での過ごしている日常とかの映画です,5.4,-0.199999999999999,
1902F2002_033, それは一体どういった内容なんですか？,刑務所の中での過ごしている日常とかの映画です,5.4,0,
1902F2002_034, そうなんですか，では先程おすすめされたものをみんなに伝えてみますね！,＊,4.4,-1,
1902F2002_036, 見たことのあるものの中で一番好きなものはなんですか？,アニメ見ながらアイアムアヒーローとか門仲の幕開け9月です,5.6,1.6,
1902F2002_037, それは一体どういった内容なんですか？,ゾンビが出てくるんですけど待っている人達がゾンビになっていて生き延びていくっていうことになってます,5.2,-0.4,
1902F2002_037, それは一体どういった内容なんですか？,ゾンビが出てくるんですけど待っている人達がゾンビになっていて生き延びていくっていうことになってます,5.2,0,
1902F2002_038, どういったところが好きなんですか？,ハラハラ遊べるところが好きです,5,-0.2,
1902F2002_039, それは面白そうですね。,＊,4.4,-0.6,
1902F2002_040, ありがとうございました・・,＊,4,-0.4,
1902F2002_043, 最近本は読みましたか？,最近は読めてないよ,3.8,-0.4,
1902F2002_044, 本はよく読む方ですか？,たいんですがなかなか最近は買う機会がなくて読みたい本だけは増えていってる状態です,4,0.2,
1902F2002_045, あまり読まないんですね。では今までに読んだ中で一番好きな本はありますか？,質問はないんですけど怒りや右心は誰もハラハラして楽しめました,5.6,1.6,
1902F2002_046, なるほど、そうなんですね。,＊,4.4,-1.2,
1902F2002_047, 具体的にはどういったものですか？,何か出てきたりするんですか結構ハラハラしてその人が犯人だろうと考えたり感じ,5.4,1,
1902F2002_048, いいですね，とても興味深いです！,＊,4.6,-0.800000000000001,
1902F2002_049, ありがとうございました・・,＊,4,-0.6,
1902F2002_051, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,音楽が多いです,5,1,
1902F2002_052, 邦楽が好きなんですか。おすすめの歌手やきょくってありますか？,クリープハイプが好きです,5.6,0.6,
1902F2002_053, その歌手のどういうところが好きなんですか？,音楽のリズム感もかなり好きなんですが歌詞もとても興味深くて,6.2,0.600000000000001,
1902F2002_054, なるほど、そうなんですね。,＊,4,-2.2,
1902F2002_055, おすすめの曲はありますか？,クリープハイプの手と手という曲が好きです,5.6,1.6,
1902F2002_056, カラオケで歌ったりするのですか？,3分タイマー,5.2,-0.4,
1902F2002_057, とても楽しそうですね。,＊,4.2,-1,
1902F2002_058, カラオケに行くときはお友達と行きますか？,＊,5,0.8,
1902F2002_059, とても楽しそうですね。,＊,4.8,-0.2,
1902F2002_060, そのほかで、おすすめのものはありますか？あったら教えてください．,今外関東出てこないで,3,-1.8,
1902F2002_061, そうなんですね。,＊,4,1,
1902F2002_062, コンサートとかには行きますか？,＊,5.8,1.8,
1902F2002_063, なまで演奏をきくと、迫力があって、感動するみたいですね！,でも感動します,6,0.2,
1902F2002_067, ありがとうございます。,＊,4,-2,
1902F2002_068, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？,座りをしてます,5,1,
1902F2002_069, 具体的になんのために利用していますか？,暇つぶしに利用してますね,4.8,-0.2,
1902F2002_070, なるほど、そういうふうに利用されているのですね。,＊,3.8,-1,
1902F2002_071, おすすめの便利なきのうとかはありますか？,何も決まってないです,3.6,-0.2,
1902F2002_072, そうなんですね。,＊,4.2,0.6,
1902F2002_073, 「エスエヌエス」を利用していてハプニングにあったことはありますか？,＊,3.4,-0.8,
1902F2002_074, そうなんですね。,＊,4,0.6,
1902F2002_075, ショッピングで「アマゾン」などはよく利用しますか？,たまに利用します,5,1,
1902F2002_076, 使い心地はどうですか？,とても良いと思います,5.2,0.2,
1902F2002_077, いいですね，私も使ってみたいです！,買ってください,5,-0.2,
1902F2002_078, 具体的にどういったものを買いますか？,洋服も買います,5.4,0.4,
1902F2002_079, そうですか，いいものが見つかるといいですね．,ございます,4.8,-0.600000000000001,
1902F2002_082, さいきん旅行には行きましたか？,行きました,5.2,1.2,
1902F2002_083, 旅行はどこに行ったことがありますか？,お金は韓国と簡単東武ワールドの北海道と沖縄と結構いろんなところに行ったことがあります,5.6,0.4,
1902F2002_084, なるほど、そうなんですね。,＊,4,-1.6,
1902F2002_085, 今までいった「旅行」で特におすすめの場所はありますか？,単純が一番良かったかなと思います,5.4,1.4,
1902F2002_086, その旅先で何が一番楽しかったですか？,ずっと楽しかったんですが友達と一緒に青春18きっぷで移動してとても楽しかったね,6.2,0.8,
1902F2002_087, なるほど、それは素晴らしい経験ですね。,＊,4.8,-1.4,
1902F2002_088, その旅先で美味しい食べ物はたべましたか・・,いっぱい食べました,5.6,0.8,
1902F2002_089, 具体的には教えてもらえますか？,運動が美味しかったですあと5分だもん,5.8,0.2,
1902F2002_090, それは、美味しそうですね。,＊,4.6,-1.2,
1902F2002_091, ほかには何か面白いことはありましたか？,旅先での今日のサラリーマンの人たちと結構仲良くなったりしました,5.8,1.2,
1902F2002_092, なるほど、それは面白そうですね。,＊,4.8,-1,
1902F2002_093, 貴重な体験談をありがとうございました。,＊,4,-0.8,
1902F2002_096, なるほど、そうなんですね。,＊,4.2,-0.8,
1902F2002_097, 人工知能を搭載した、ルンバのような家電を使ったことはありますか？,＊,3.2,-1,
1902F2002_098, 人工知能を搭載した、アイボのようなロボットに興味はありますか？,あまりないで,2.8,-0.4,
1902F2002_099, いぬがたのロボットで、とてもかわいがる人もいるようです。,＊,3.2,0.4,
1902F2002_100, 散歩とかエサの心配とかしなくていいので、居てくれるだけで、「安心する」という人もいるようです。,＊,3.2,0,
1902F2002_101, 面白いですよね。,＊,4,0.8,
1902F2002_102, ありがとうございました・・,＊,4,0,
1902F3001_008, 甘いものと、からいものどちらがお好きですか？,甘いものの方が好きです,5.4,1.2,
1902F3001_009, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,チョコレート焼粋なんでも美味しいものは好きです,5.6,0.199999999999999,
1902F3001_010, 普段はどこでスイーツを買いますか？,金沢美味しいケーキ屋さんで買ったりしています,4.2,-1.4,
1902F3001_011, 具体的に教えてもらっていいですか？,＊,4.8,0.6,
1902F3001_012, その中でもおすすめのスイーツはありますか？,生チョコロールと言って生チョコがたくさんロールケーキの中に入っているとてもいい刺激があります,6,1.2,
1902F3001_013, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・,＊,3.8,-2.2,
1902F3001_017, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？,今家で過ごす方が多いです,4.8,0.8,
1902F3001_018, それでは少し「ゲーム」について話しましょう,普段忙しいので家を片付けたりお料理したり子供達と遊んだりしています,4.6,-0.2,
1902F3001_020, では、やったことのあるゲームの中で、もう一度やりたいものはありますか？,ゲームはありません全くしないで子供はするのが好きですが,3.2,0.4,
1902F3001_021, 子供から大人まで最近はスイッチというゲーム機でゲームをするのが流行っているみたいですね。,マリオカートとか,3.4,0.2,
1902F3001_022, 代表的なものにスプラトゥーンやカービィ、マリオのゲームなどありますが、遊んだことはありますか？,＊,4.2,0.8,
1902F3001_023, 私の知りあいはマリオテニスを試してみたそうです！あんがい体も動かせて楽しかったと言っていました。よろしければ、今度ためしてみてください！,,見たことがないです,3.2,-1
1902F3001_027, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,＊,5,1,
1902F3001_028, 洋楽が好きなんですか。おすすめの歌手やきょくってありますか？,洋楽の方が先は好きです,5.4,0.4,
1902F3001_029, その歌手のどういうところが好きなんですか？,ノラジョーンズ曲がピサロ売っている曲は落ち着いて聞けておすすめです,5.4,0,
1902F3001_030, 「スローテンポ」のきょくで、ボサノバとか、カフェでかかっているような音楽をかけてリラックスするひともいると聞きましたが、リラックスするために聞く、きょくとかはありますか？,大阪電車に乗る時でもリラックスして聴けるところがとても良いと思います,5,-0.4,
1902F3001_031, なるほど、そうなんですね。,リラックスする曲ノラジョーンズの曲がとてもリラックスできるので,3.8,-1.2,
1902F3001_032, そのほかで、おすすめのものはありますか？あったら教えてください．,＊,3.6,-0.2,
1902F3001_033, ありがとうございました・・,ミュージックといういろんな曲を聴いてから着るものも得られる感じなので別のアプリとか試していただいたらみんなそれぞれ好きなのが選べるじゃないかな,4.8,1.2,
1902F3001_034, それではつぎの話題にうつりたいとおもいます。,＊,4,-0.8,
1902F3001_036, 「エスエヌエス」を利用して、何か面白かったことはありますか・・,イケメンが LINE を使うとか自分では他の方とかくれんぼも見たくなります,5.4,1.6,
1902F3001_037, なるほど、そういうふうに利用されているのですね。,同級生の LINE グループがあるんですけどことみにたまに喋り出すとあっという間に100とか増えていることがある,5.8,0.4,
1902F3001_038, おすすめの便利なきのうとかはありますか？,＊,4.2,-1.6,
1902F3001_039, なるほど、勉強になります・・,LINE だったらその時に旅行とかですぐ撮った写真をアップ出来たりとか PDF でもなんでもデータも簡単に作れるのでおすすめです,4.2,0,
1902F3001_040, 「エスエヌエス」を利用していてハプニングにあったことはありますか？,＊,3.6,-0.6,
1902F3001_041, 「エスエヌエス」を利用していてハプニングにあったことはありますか？,自動車で借りれるか,3.6,0,
1902F3001_042, これは「おすすめ」というものはありますか？,ハプニングハプニングハプニングは特に今のところないです,3.4,-0.2,
1902F3001_043, ショッピングで「アマゾン」などはよく利用しますか？,＊,2.8,-0.6,
1902F3001_044, 使い心地はどうですか？,入って使います楽天の方が多いです,5,2.2,
1902F3001_045, そうですか，いいものが見つかるといいですね．,心地が快適ですね欲しいものの後水買ってすぐポチっとお買い物できるので使い心地がいいです,5.2,0.2,
1902F3001_046, それではつぎの話題にうつりたいとおもいます。,＊,4.6,-0.600000000000001,
1902F3001_049, 学生時代、一番楽しかった学年はありますか？,学生時代にすごく仲良くなった友達と旅行に行ったり休みの日に映画を見に行ったりとかして届いたのがとてもいい思い出です,5.6,1.6,
1902F3001_050, はい、そうです。,小学校から大学まで,3.6,-2,
1902F3001_051, その時、どんなことをしたのですか？,＊,4.6,1,
1902F3001_052, 運動会や、学芸会などのイベントで面白かった体験はありますか？,頑張っておりました,4.8,0.2,
1902F3001_053, それは面白い体験ですね！,お前ので負けてしまったんですけどカラオケ大会で優勝して旅行が立っているとかそういった言葉と言われました,4,-0.8,
1902F3001_054, 最近、学校にはいきましたか？,＊,2.8,-1.2,
1902F3001_055, 最近、お子さんの学校のピーティーエーはたいへんと聞きますが、参加されたことはありますか？,学校には行ってないけど仕事なのでタイで小学校などに,4.6,1.8,
1902F3001_056, 具体的にはどういったものですか？,2年前ほどに聞いておきました,4.6,0,
1902F3001_057, それはたいへんでしたね。,具体的にはお祭り出るとかイベントのお手伝いをしたりとか家の子供達の送迎のお手伝いはしたかいろんな行事があるので時間のやりくりが大変でした,5.2,0.600000000000001,
1902F3001_058, そうですか、貴重な体験談をありがとうございました・・,＊,4.2,-1,
1902F3001_062, なるほど、ありがとうございました。,＊,4,-1.2,
1902F3002_008, 甘いものと、からいものどちらがお好きですか？,辛いものが苦手なのでどちらかでた甘いものです,5.2,1.2,
1902F3002_009, 甘いものでしたらチョコレートやケーキといった、どのジャンルのものを好んで食べますか？,＊,6.2,1,
1902F3002_010, 普段はどこでスイーツを買いますか？,普通にスーパーとかで買えますけど,5,-1.2,
1902F3002_011, ちょっと特別なスイーツを買うときは近くのお店とか「デパートの地下」とか、利用しますか？,タワーレコード百貨店とかね,6,1,
1902F3002_012, その中でもおすすめのスイーツはありますか？,私が好きなのはもうシュシュの堂島ロール,6,0,
1902F3002_013, 具体的にどういう味か教えてください。,すごく甘くてクリームが美味しいですよちょっと高いですけど,6,0,
1902F3002_014, とても美味しそうですね。今度知りあいにもすすめてみようと思います・・,＊,5,-1,
1902F3002_015, お友達とランチに行ったりしますか？,ランチはあんまり行かないですけどたまにぐらいです,5.2,0.2,
1902F3002_016, たくさんおしゃべりをすると、楽しくて、ストレスが発散できるようですね。,＊,5,-0.2,
1902F3002_017, 楽しそうですね！,＊,3.8,-1.2,
1902F3002_018, どんなところに行きますか？和食ですか洋食ですか？,そうですねまなとか風とか,4.8,1,
1902F3002_019, たのしそうですね。,＊,4.4,-0.4,
1902F3002_020, ありがとうございました・・,ありがとうございました,4.6,0.199999999999999,
1902F3002_023, 休日は家で過ごすほうが多いですか？外出することが多いですか？,どちらかと言うと家ですごいです,5,0.6,
1902F3002_024, 家で過ごすとき、ゲームをしたり映画を見たり、本やマンガを読んだり、何をして過ごしますか？,まあテレビを見たりネットしたり家事をしたり溜まってるかどうしたいって感じ,5.2,0.2,
1902F3002_025, 家事はひとりでぜんぶしますか？家族は協力してくれたりしますか？,今日は私ひとりでやります,4.8,-0.4,
1902F3002_026, それは大変ですよね。,まあ役名,3.8,-1,
1902F3002_027, 人工知能を搭載した、ルンバのような家電を使ったことはありますか？,＊,4.8,1,
1902F3002_028, グーグルホームのようなスピーカーを使って、家事を効率化させたいとは思いますか？,風と繋がると思ったことないんですけど僕は理解できるのであればいいなと思いますけど,5,0.2,
1902F3002_029, なるほど、そうなんですね。,＊,3.8,-1.2,
1902F3002_030, 一度ネットワークにつなぐと、あとはラクなようですよ。,＊,4.6,0.8,
1902F3002_032, さいきんドラマは見ましたか？,今見てますはいいこだけ見てます,5.2,1.2,
1902F3002_033, 具体的に教えてもらっていいですか？,三年 A 組なんとかっていうドラマちょっとタイトル忘れちゃったんですけどそれだけ置いてます,4.8,-0.4,
1902F3002_034, そのドラマはどんな内容なんですか？,学園ドラマで教師の人は生徒をトイレに立てこもるみたいな問題を解決していく的な感じだと思います,5,0.2,
1902F3002_035, なるほど、それは面白そうですね。今度しりあいにもすすめてみたいと思います！,＊,4.2,-0.8,
1902F3002_037, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？,マジ部が好きであれば高額でも,5,0.8,
1902F3002_038, 具体的に教えてください？,高額だったらサカナクションサッチモすとかですかね洋楽その時はやる教育者とか,5.2,0.2,
1902F3002_039, その歌手のどういうところが好きなんですか？,音楽聞いてて耳にすっと入ってくるって言うか音楽が好きで好きになることが多いですね曲から入る,5.4,0.2,
1902F3002_040, おすすめの曲はありますか？,目の曲サカナクションとか魚とか撮れてますよちょっと元気があるんですサカナクション僕と花,5.4,0,
1902F3002_041, 具体的には何ですか？,宝島宝島の曲哀れなんですけどアルバムとか借りてずっと聞いてる時間,4.8,-0.600000000000001,
1902F3002_042, そうなんですね。新しい知識が増えました。私も一度聞いてみたいと思います！,＊,4,-0.8,
1902F3002_044, 最近映画は見ましたか？,映画を見てないけど海外ドラマとかは,4.4,0.2,
1902F3002_045, それ以外が好きなんですか，どんなジャンルの映画が好きなんですか？,映画お菓子とかよく見てた映画トランスポーターシリーズってカードとかアクション系とか見てました,5.2,0.8,
1902F3002_046, それのどういったところが好きなんですか？,車のテクニックってドライビングテクニックとか行っちゃうのでヒヤヒヤする場面とか見てていこう吸い込まれます,6,0.8,
1902F3002_047, なるほど，では私もチェックしておきますね！,＊,4,-2,
1902F3002_048, さいきんは「エスエヌエス」をして、過ごすひともいると聞きますが、「エスエヌエス」はなにか利用しますか？,なんか好きな人のツイッターとかインスタとか見るぐらいで自分を全く何も,4.8,0.8,
1902F3002_049, なるほど、そういうふうに利用されているのですね。,＊,4,-0.8,
1902F3002_050, ショッピングで「アマゾン」などはよく利用しますか？,私はしないんですけど店がめちゃくちゃ行けます,4.8,0.8,
1902F3002_051, 具体的にどういったものを買いますか？,何時から何から欲しいと思ったものを注文してるので毎日のように何かすることきます,5.2,0.4,
1902F3002_052, なるほど、そうなんですね。,＊,4,-1.2,
1902F3002_053, そうですか，いいものが見つかるといいですね．,＊,4,0,
1902F3002_054, ありがとうございました・・,＊,4,0,
1902F3002_057, さいきん旅行には行きましたか？,最近は行ってないんですけど5月6月あたりに旅行に行く予定ですね,5.4,1.6,
1902F3002_058, 旅行はどこに行ったことがありますか？,香港と韓国とかアジア件しか行ったことなくってちょっとアメリカとか会えると書いて,5.6,0.199999999999999,
1902F3002_059, もう少し詳しく教えていただいていいですか。,＊,3.6,-2,
1902F3002_060, 今までいった「旅行」で特におすすめの場所はありますか？,魔法とか食べ物とか美味しいですね小籠包あの中華料理何するか迷っていたんですけど美味しかったです,5.6,2,
1902F3002_061, それは、美味しそうですね。,それに美味しかったです,4.2,-1.4,
1902F3002_062, その旅先で何が一番楽しかったですか？,食べることが好きなディズニーランド香港ディズニーランド,5.8,1.6,
1902F3002_063, その旅先で何かハプニングはありましたか!,ハプニングはなかったですけど特には,3.8,-2,
