exchgID,state,action,theme,UI,utterance
21_U,-,-,-,4.877987002011701,リラックスする時は 何かあるかなぁとかそういう曲を聞いたりします
22_S,qs_x_s_1_Nx_n_po,qs_x_s,音楽,-, 最近音楽は聞きましたか？
22_U,-,-,-,4.844267033991807,普段 寄ってきます
23_S,qs_x_s_18_Nx_n_po,qs_x_s,音楽,-, 聞くとしたら、邦楽，洋楽，クラシックなどどんなジャンルを聞きますか？
23_U,-,-,-,5.08124592218139,方角を言ってきます
24_S,qs_x_s_12_No_h_po,re_o_m,default,-, たのしそうですね。
24_U,-,-,-,4.74330712890323,そうですね 楽しいです
25_S,re_o_m_0_Nx_n_po,qs_x_s,音楽,-, カラオケに行くときはお友達と行きますか？
25_U,-,-,-,4.94446367317379,えっと 半々ですね 一人で行ったり 友達と行ったりですね
26_S,qs_x_s_17_No_n_po,re_x_d,default,-, そうなんですね。
26_U,-,-,-,3.8751804247423265,はいはい
27_S,re_x_d_0_Nx_n_po,qs_x_s,音楽,-, おすすめの曲はありますか？
27_U,-,-,-,5.015002017547667,おすすめの曲はなんか最近 米津玄師が出したポップスターとかお勧めですね
28_S,thank_0_No_h_po,change_theme,-,-, *** これから旅行の話をしましょう***
28_U,-,-,-,4.0457626690394255,はい
29_S,ct_0,qs_x_s,旅行,-, 旅行に行くときはなにか目的はありますか？
29_U,-,-,-,4.819283788206501,そうですね ライブに行く っていう目的 買って行きます
30_S,qs_x_s_32_No_n_po,qs_o_d,default,-,目的ですか。 もう少し詳しく教えていただいていいですか。
30_U,-,-,-,5.13693334033573,目的は その ライブ イベントがあってそれでなんかなんか アイドルになりたいとか
31_S,qs_x_s_32_qs_o_d_0_No_h_po,re_o_m,default,-,アイドルですか。 そうなんですか．それでは一度独自で調べてみたいと思います．
31_U,-,-,-,4.340703579308776,そうですか なーえっと 初音ミクのことですけど
32_S,re_o_m_0_No_n_po,qs_o_d,default,-,初音ミクですか。 ほかには、ありますか？
32_U,-,-,-,4.979629257847362,可愛い なんか プロジェクト セカイのキャラクターとかも書いてあったりしますね
33_S,qs_x_s_32_qs_o_d_0_No_n_po,re_o_m,default,-,キャラクターですか。 そうなんですか．私も独自に調べてみますね．
33_U,-,-,-,4.257775196678038,あなたは キャラクター
34_S,re_o_m_0_No_n_po,qs_o_d,default,-,キャラクターですか。 どういったところが好きなんですか？
34_U,-,-,-,5.2834721139822935,もうなんか自由な格好だったりするところが好きですね
35_S,qs_x_s_32_qs_o_d_0_No_h_po,re_o_m,旅行,-,格好ですか。 なるほど、それはリラックスできますね。
35_U,-,-,-,4.293504390509052,はい
36_S,re_o_m_0_Nx_n_po,qs_x_s,旅行,-, 旅行はどこに行ったことがありますか？
36_U,-,-,-,5.1891551555758575,旅行は東京だったり 幕張 だったり 北海道だったり もう行きますね
37_S,qs_x_s_31_No_h_po,re_o_m,default,-,北海道ですか。 たのしそうですね。
37_U,-,-,-,4.584438966558784,楽しかったです
38_S,re_o_m_0_Nx_n_po,qs_x_s,旅行,-, 旅行にはよく行かれますか？
38_U,-,-,-,5.001644241484417,そうですね ね ニッカネン人ぐらいで行きますね
39_S,qs_x_s_30_No_h_po,re_o_m,default,-,ニッカネンですか。 面白いですよね。
39_U,-,-,-,4.703572678555616,関電
40_S,re_o_m_0_No_n_po,re_o_m,default,-, そうですか、残念です・・
40_U,-,-,-,4.345732769453145,はい
41_S,re_x_m_0_Nx_n_po,change_theme,-,-, *** これからスポーツの話をしましょう***
41_U,-,-,-,4.033845520936056,はい
42_S,ct_0,qs_x_s,スポーツ,-, 競技はなにをご覧になりますか？
42_U,-,-,-,5.219589760522306,今日 普段 ストーカー あまり見ないですね
43_S,qs_x_s_10_No_h_po,qs_o_d,default,-,今日普段ストーカーですか。 それのどういったところが好きなんですか？
43_U,-,-,-,5.1785085855298565,福岡マリンメッセ
44_S,qs_x_s_10_qs_o_d_0_No_h_po,qs_o_d,default,-, もう少し詳しく教えていただいていいですか。
44_U,-,-,-,5.098147211672831,太った 何見ないってだけです
